City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
346,laguna,38.421,-121.4238,38.08,35,0,5.14,US,1718136495
347,ubari,26.5921,12.7805,35.77,10,0,3.51,LY,1718136495
348,pathein,16.7833,94.7333,25.18,94,100,5.67,MM,1718136495
349,south venice,27.0531,-82.4243,27.02,94,97,0.45,US,1718136495
350,popondetta,-8.7537,148.2534,22.98,96,35,1.28,PG,1718136496
351,pacific grove,36.6177,-121.9166,30.36,74,0,3.13,US,1718136496
352,uliastay,47.7417,96.8444,11.23,72,76,1.7,MN,1718136496
353,axim,4.8699,-2.2405,25.56,83,72,3.24,GH,1718136496
354,capayan,-28.761,-66.0502,26.0,43,100,2.78,AR,1718136496
355,kimberley,-28.7323,24.7623,9.83,87,57,5.14,ZA,1718136308
356,mata-utu,-13.2816,-176.1745,27.43,77,35,4.91,WF,1718136496
357,amahai,-3.3333,128.9167,24.67,89,99,0.84,ID,1718136489
358,codrington,-38.2667,141.9667,11.18,71,96,9.94,AU,1718136496
359,hedaru,-4.5,37.9,18.4,73,6,2.13,TZ,1718136496
360,harper,4.375,-7.7169,26.36,81,100,4.16,LR,1718136496
361,villazon,-22.0866,-65.5942,16.89,6,8,0.99,BO,1718136496
362,nantucket,41.2835,-70.0995,21.72,77,0,5.14,US,1718136496
